statid;timeobs (UTC);vandtemperatur (°C);label
20303;2009012323;2.7;1100
20303;2009012400;2.7;1100
20303;2009012401;2.7;1100
20303;2009012402;2.7;1100
20303;2009012403;2.7;1100
20303;2009012404;2.7;1100
20303;2009012405;2.7;1100
20303;2009012406;2.7;1100
20303;2009012407;2.9;1100
20303;2009012408;3.1;1100
20303;2009012409;3.3;1100
20303;2009012410;3.4;1100
20303;2009012411;3.4;1100
20303;2009012412;3.3;1100
20303;2009012413;3.3;1100
20303;2009012414;3.1;1100
20303;2009012415;3;1100
20303;2009012416;3;1100
20303;2009012417;2.9;1100
20303;2009012418;2.9;1100
20303;2009012419;2.9;1100
20303;2009012420;2.9;1100
20303;2009012421;2.9;1100
20303;2009012422;2.9;1100
20303;2009012423;2.9;1100
20303;2009012500;2.9;1100
20303;2009012501;2.8;1100
20303;2009012502;2.8;1100
20303;2009012503;2.8;1100
20303;2009012504;2.8;1100
20303;2009012505;2.7;1100
20303;2009012506;2.8;1100
20303;2009012507;2.8;1100
20303;2009012508;2.8;1100
20303;2009012509;2.8;1100
20303;2009012510;2.8;1100
20303;2009012511;2.8;1100
20303;2009012512;2.8;1100
20303;2009012513;2.8;1100
20303;2009012514;2.8;1100
20303;2009012515;2.8;1100
20303;2009012516;2.8;1100
20303;2009012517;2.8;1100
20303;2009012518;2.7;1100
20303;2009012519;2.6;1100
20303;2009012520;2.6;1100
20303;2009012521;2.6;1100
20303;2009012522;2.6;1100
20303;2009012523;2.6;1100
20303;2009012600;2.6;1100
20303;2009012601;2.6;1100
20303;2009012602;2.6;1100
20303;2009012603;2.6;1100
20303;2009012604;2.6;1100
20303;2009012605;2.6;1100
20303;2009012606;2.5;1100
20303;2009012607;2.5;1100
20303;2009012608;2.5;1100
20303;2009012609;2.5;1100
20303;2009012610;2.4;1100
20303;2009012611;2.5;1100
20303;2009012612;2.5;1100
20303;2009012613;2.5;1100
20303;2009012614;2.4;1100
20303;2009012615;2.4;1100
20303;2009012616;2.4;1100
20303;2009012617;2.4;1100
20303;2009012618;2.4;1100
20303;2009012619;2.4;1100
20303;2009012620;2.4;1100
20303;2009012621;2.4;1100
20303;2009012622;2.4;1100
20303;2009012623;2.4;1100
20303;2009012700;2.5;1100
20303;2009012701;2.5;1100
