statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
610900;2009011502; 7.8860;1000
610900;2009011503; 7.7616;1000
610900;2009011504; 7.5961;1000
610900;2009011505; 7.4563;1000
610900;2009011506; 7.3347;1000
610900;2009011507; 7.1492;1000
610900;2009011508; 6.9189;1000
610900;2009011509; 6.8052;1000
610900;2009011510; 7.0575;1000
610900;2009011511; 6.9840;1000
610900;2009011512; 7.0100;1000
610900;2009011513; 7.0184;1000
610900;2009011514; 6.8943;1000
610900;2009011515; 6.7052;1000
610900;2009011516; 6.6094;1000
610900;2009011517; 6.7094;1000
610900;2009011518; 7.1499;1000
610900;2009011519; 7.7967;1000
610900;2009011520; 8.6970;1000
610900;2009011521; 9.9093;1000
610900;2009011522;10.7427;1000
610900;2009011523;11.2632;1000
610900;2009011600;11.4410;1000
610900;2009011601;11.5376;1000
610900;2009011602;11.6055;1000
610900;2009011603;11.6056;1000
610900;2009011604;11.6179;1000
610900;2009011605;11.6915;1000
610900;2009011606;11.8034;1000
610900;2009011607;11.9569;1000
610900;2009011608;12.1379;1000
610900;2009011609;12.2323;1000
610900;2009011610;11.4499;1000
610900;2009011611;11.3387;1000
610900;2009011612;11.1129;1000
610900;2009011613;10.7894;1000
610900;2009011614;10.3747;1000
610900;2009011615; 9.9107;1000
610900;2009011616; 9.4419;1000
610900;2009011617; 8.7672;1000
610900;2009011618; 8.3463;1000
610900;2009011619; 8.6274;1000
610900;2009011620; 9.1411;1000
610900;2009011621; 9.7508;1000
610900;2009011622; 9.7425;1000
610900;2009011623; 9.6495;1000
610900;2009011700; 9.3338;1000
610900;2009011701; 9.1327;1000
610900;2009011702; 9.1720;1000
610900;2009011703; 9.3600;1000
610900;2009011704; 9.5595;1000
610900;2009011705; 9.7167;1000
610900;2009011706; 9.9586;1000
610900;2009011707;10.0539;1000
610900;2009011708;10.0656;1000
610900;2009011709;10.0405;1000
610900;2009011710;10.4383;1000
610900;2009011711;10.7420;1000
610900;2009011712;11.3340;1000
610900;2009011713;11.6888;1000
610900;2009011714;11.6483;1000
610900;2009011715;11.5378;1000
610900;2009011716;11.5591;1000
610900;2009011717;11.6262;1000
610900;2009011718;11.8898;1000
610900;2009011719;12.5845;1000
610900;2009011720;13.5231;1000
610900;2009011721;13.7223;1000
610900;2009011722;12.9887;1000
610900;2009011723;11.0653;1000
610900;2009011800; 8.6902;1000
610900;2009011801; 7.6977;1000
610900;2009011802; 8.6988;1000
610900;2009011803; 9.6079;1000
610900;2009011804;10.2052;1000
610900;2009011805;10.2179;1000
610900;2009011806; 9.6845;1000
610900;2009011807;11.3335;1000
610900;2009011808;13.7526;1000
610900;2009011809;14.2176;1000
610900;2009011810;13.7357;1000
610900;2009011811;13.1674;1000
610900;2009011812;12.9526;1000
610900;2009011813;12.9937;1000
610900;2009011814;13.3637;1000
610900;2009011815;13.3653;1000
610900;2009011816;13.1414;1000
610900;2009011817;13.0155;1000
610900;2009011818;12.9542;1000
610900;2009011819;12.7717;1000
610900;2009011820;12.5565;1000
610900;2009011821;12.0051;1000
610900;2009011822;11.6727;1000
610900;2009011823;10.8006;1000
610900;2009011900; 8.9564;1000
610900;2009011901; 7.0703;1000
610900;2009011902; 5.9816;1000
610900;2009011903; 6.5744;1000
610900;2009011904; 8.2611;1000
610900;2009011905; 8.8700;1000
610900;2009011906; 9.1153;1000
610900;2009011907; 9.2360;1000
610900;2009011908; 8.9956;1000
610900;2009011909; 8.9605;1000
610900;2009011910; 8.5209;1000
610900;2009011911; 7.8305;1000
610900;2009011912; 7.5055;1000
610900;2009011913; 7.1019;1000
610900;2009011914; 6.7452;1000
610900;2009011915; 6.9724;1000
610900;2009011916; 7.4837;1000
610900;2009011917; 7.1710;1000
610900;2009011918; 7.7290;1000
610900;2009011919;10.9015;1000
610900;2009011920;12.6035;1000
610900;2009011921;12.6965;1000
610900;2009011922;11.7671;1000
610900;2009011923;11.1740;1000
610900;2009012000;12.0681;1000
610900;2009012001;13.0283;1000
610900;2009012002;12.6867;1000
610900;2009012003;11.8163;1000
610900;2009012004;11.7084;1000
610900;2009012005;11.3703;1000
610900;2009012006;10.0821;1000
610900;2009012007; 8.7120;1000
610900;2009012008; 7.2873;1000
610900;2009012009; 6.2282;1000
610900;2009012010; 6.2285;1000
610900;2009012011; 7.7504;1000
610900;2009012012; 9.6008;1000
610900;2009012013;10.6513;1000
610900;2009012014;10.9593;1000
610900;2009012015; 9.8804;1000
610900;2009012016; 8.1945;1000
610900;2009012017; 7.5173;1000
610900;2009012018; 7.5483;1000
610900;2009012019; 7.7491;1000
610900;2009012020; 8.0298;1000
610900;2009012021; 8.5898;1000
610900;2009012022; 9.6051;1000
610900;2009012023; 9.9994;1000
610900;2009012100;10.2623;1000
610900;2009012101;10.2497;1000
610900;2009012102;10.1012;1000
610900;2009012103; 9.8541;1000
610900;2009012104; 9.6556;1000
610900;2009012105; 9.4914;1000
610900;2009012106; 9.3211;1000
610900;2009012107; 9.3459;1000
610900;2009012108; 9.4208;1000
610900;2009012109; 9.2989;1000
610900;2009012110; 8.8742;1000
610900;2009012111; 8.8710;1000
610900;2009012112; 8.9406;1000
610900;2009012113; 8.8614;1000
610900;2009012114; 8.6658;1000
610900;2009012115; 8.4171;1000
610900;2009012116; 8.2419;1000
610900;2009012117; 8.0975;1000
610900;2009012118; 7.9276;1000
610900;2009012119; 7.8278;1000
610900;2009012120; 7.8121;1000
610900;2009012121; 7.7926;1000
610900;2009012122; 7.9389;1000
610900;2009012123; 7.8430;1000
610900;2009012200; 7.8758;1000
610900;2009012201; 7.7813;1000
610900;2009012202; 7.8192;1000
610900;2009012203; 7.7266;1000
610900;2009012204; 7.4737;1000
610900;2009012205; 7.4125;1000
610900;2009012206; 7.3900;1000
610900;2009012207; 6.9867;1000
610900;2009012208; 6.3616;1000
610900;2009012209; 5.7517;1000
610900;2009012210; 5.5506;1000
610900;2009012211; 6.0024;1000
610900;2009012212; 6.7166;1000
610900;2009012213; 7.3642;1000
610900;2009012214; 8.1910;1000
610900;2009012215; 9.2339;1000
610900;2009012216;11.3252;1000
610900;2009012217;12.8669;1000
610900;2009012218;14.0283;1000
610900;2009012219;14.5029;1000
610900;2009012220;14.5950;1000
610900;2009012221;14.5179;1000
610900;2009012222;14.3363;1000
610900;2009012223;14.3599;1000
610900;2009012300;14.0216;1000
610900;2009012301;12.4820;1000
610900;2009012302;10.7299;1000
610900;2009012303;10.5472;1000
610900;2009012304; 9.8211;1000
610900;2009012305; 8.7800;1000
610900;2009012306; 8.2282;1000
610900;2009012307;10.1541;1000
610900;2009012308;11.5418;1000
610900;2009012309;11.9494;1000
610900;2009012310;12.8053;1000
610900;2009012311;14.2396;1000
610900;2009012312;14.7194;1000
610900;2009012313;14.7862;1000
610900;2009012314;14.6121;1000
610900;2009012315;14.3229;1000
610900;2009012316;14.3308;1000
610900;2009012317;14.1455;1000
610900;2009012318;13.8636;1000
610900;2009012319;13.2068;1000
610900;2009012320;11.5881;1000
610900;2009012321;10.8462;1000
610900;2009012322;11.2623;1000
610900;2009012323;11.9840;1000
610900;2009012400;12.4959;1000
610900;2009012401;12.5973;1000
610900;2009012402;12.8056;1000
610900;2009012403;12.8043;1000
610900;2009012404;12.6470;1000
610900;2009012405;12.5496;1000
610900;2009012406;12.4183;1000
610900;2009012407;12.1845;1000
610900;2009012408;12.0887;1000
610900;2009012409;12.0965;1000
610900;2009012410;11.8874;1000
610900;2009012411;11.5105;1000
610900;2009012412;11.1320;1000
610900;2009012413;10.7243;1000
610900;2009012414;10.4699;1000
610900;2009012415;10.3186;1000
610900;2009012416;10.1465;1000
610900;2009012417;10.0053;1000
610900;2009012418; 9.8086;1000
610900;2009012419; 9.4605;1000
610900;2009012420; 8.9841;1000
610900;2009012421; 8.6185;1000
610900;2009012422; 8.7013;1000
610900;2009012423; 8.4988;1000
610900;2009012500; 8.1296;1000
610900;2009012501; 7.8486;1000
610900;2009012502; 7.8907;1000
610900;2009012503; 8.1578;1000
610900;2009012504; 8.4273;1000
610900;2009012505; 8.5678;1000
610900;2009012506; 8.0277;1000
610900;2009012507; 7.5582;1000
610900;2009012508; 7.0225;1000
610900;2009012509; 6.4414;1000
610900;2009012510; 6.5715;1000
610900;2009012511; 6.9211;1000
610900;2009012512; 7.3224;1000
610900;2009012513; 7.6200;1000
610900;2009012514; 7.9116;1000
610900;2009012515; 8.0146;1000
610900;2009012516; 7.7729;1000
610900;2009012517; 7.6074;1000
610900;2009012518; 7.5950;1000
610900;2009012519; 7.5731;1000
610900;2009012520; 7.5054;1000
610900;2009012521; 7.4022;1000
610900;2009012522; 7.3026;1000
610900;2009012523; 7.2403;1000
610900;2009012600; 7.2612;1000
610900;2009012601; 7.3362;1000
610900;2009012602; 7.3078;1000
610900;2009012603; 7.1300;1000
610900;2009012604; 6.8990;1000
610900;2009012605; 6.7348;1000
610900;2009012606; 6.6737;1000
610900;2009012607; 6.6634;1000
610900;2009012608; 6.6770;1000
610900;2009012609; 6.6947;1000
610900;2009012610; 6.4892;1000
