statid;timeobs;Diffuse_irradiance_mean_[W/m^2];Quality_label
619700;2010110116;0;1000
619700;2010110117;0;1000
619700;2010110118;0;1000
619700;2010110119;0;1000
619700;2010110120;0;1000
619700;2010110121;0;1000
619700;2010110122;0;1000
619700;2010110123;0;1000
619700;2010110200;0;1000
619700;2010110201;0;1000
619700;2010110202;0;1000
619700;2010110203;0;1000
619700;2010110204;0;1000
619700;2010110205;0;1000
619700;2010110206;0;1000
619700;2010110207;7;1000
619700;2010110208;19;1000
619700;2010110209;22;1000
619700;2010110210;29;1000
619700;2010110211;27;1000
619700;2010110212;27;1000
619700;2010110213;29;1000
619700;2010110214;21;1000
619700;2010110215;8;1000
619700;2010110216;0;1000
619700;2010110217;0;1000
619700;2010110218;0;1000
619700;2010110219;0;1000
619700;2010110220;0;1000
619700;2010110221;0;1000
619700;2010110222;0;1000
619700;2010110223;0;1000
619700;2010110300;0;1000
619700;2010110301;0;1000
619700;2010110302;0;1000
619700;2010110303;0;1000
619700;2010110304;0;1000
619700;2010110305;0;1000
619700;2010110306;0;1000
619700;2010110307;2;1000
619700;2010110308;11;1000
619700;2010110309;23;1000
619700;2010110310;33;1000
619700;2010110311;30;1000
619700;2010110312;73.7;1000
619700;2010110313;118.7;1000
619700;2010110314;78.3;1000
619700;2010110315;23.6;1000
619700;2010110316;1;1000
619700;2010110317;0;1000
619700;2010110318;0;1000
619700;2010110319;0;1000
619700;2010110320;0;1000
619700;2010110321;0;1000
619700;2010110322;0;1000
619700;2010110323;0;1000
619700;2010110400;0;1000
619700;2010110401;0;1000
619700;2010110402;0;1000
619700;2010110403;0;1000
619700;2010110404;0;1000
619700;2010110405;0;1000
619700;2010110406;0;1000
619700;2010110407;4;1000
619700;2010110408;26;1000
619700;2010110409;42;1000
619700;2010110410;54;1000
619700;2010110411;75.9;1000
619700;2010110412;128.8;1000
619700;2010110413;80.4;1000
619700;2010110414;46;1000
619700;2010110415;11;1000
619700;2010110416;1;1000
619700;2010110417;0;1000
619700;2010110418;0;1000
619700;2010110419;0;1000
619700;2010110420;0;1000
619700;2010110421;0;1000
619700;2010110422;0;1000
619700;2010110423;0;1000
619700;2010110500;0;1000
619700;2010110501;0;1000
619700;2010110502;0;1000
619700;2010110503;0;1000
619700;2010110504;0;1000
619700;2010110505;0;1000
619700;2010110506;0;1000
619700;2010110507;9.8;1000
619700;2010110508;58.5;1000
619700;2010110509;101.7;1000
619700;2010110510;132.5;1000
619700;2010110511;139.3;1000
619700;2010110512;136.5;1000
619700;2010110513;98.8;1000
619700;2010110514;64;1000
619700;2010110515;19;1000
619700;2010110516;1;1000
619700;2010110517;0;1000
619700;2010110518;0;1000
619700;2010110519;0;1000
619700;2010110520;0;1000
619700;2010110521;0;1000
619700;2010110522;0;1000
619700;2010110523;0;1000
619700;2010110600;0;1000
619700;2010110601;0;1000
619700;2010110602;0;1000
619700;2010110603;0;1000
619700;2010110604;0;1000
619700;2010110605;0;1000
619700;2010110606;0;1000
619700;2010110607;2;1000
619700;2010110608;12;1000
619700;2010110609;43;1000
619700;2010110610;101.8;1000
619700;2010110611;122.3;1000
619700;2010110612;131.7;1000
619700;2010110613;112.1;1000
619700;2010110614;79.8;1000
619700;2010110615;28.7;1000
619700;2010110616;1;1000
619700;2010110617;0;1000
619700;2010110618;0;1000
619700;2010110619;0;1000
619700;2010110620;0;1000
619700;2010110621;0;1000
619700;2010110622;0;1000
619700;2010110623;0;1000
619700;2010110700;0;1000
619700;2010110701;0;1000
619700;2010110702;0;1000
619700;2010110703;0;1000
619700;2010110704;0;1000
619700;2010110705;0;1000
619700;2010110706;0;1000
619700;2010110707;7;1000
619700;2010110708;42.1;1000
619700;2010110709;92.7;1000
619700;2010110710;124.6;1000
