 statid;timeobs;Diffuse_illuminance_mean_[lx];Quality_label
610900;2009012814;  5099;1000
610900;2009012815;  2402;1000
610900;2009012816;   390;1000
610900;2009012817;     0;1000
610900;2009012818;     0;1000
610900;2009012819;     0;1000
610900;2009012820;     0;1000
610900;2009012821;     0;1000
610900;2009012822;     0;1000
610900;2009012823;     0;1000
610900;2009012900;     0;1000
610900;2009012901;     0;1000
610900;2009012902;     0;1000
610900;2009012903;     0;1000
610900;2009012904;     0;1000
610900;2009012905;     0;1000
610900;2009012906;     0;1000
610900;2009012907;     0;1000
610900;2009012908;   103;1000
610900;2009012909;  1340;1000
610900;2009012910;  4583;1000
610900;2009012911;  8746;1000
610900;2009012912; 10009;1000
610900;2009012913; 10772;1000
610900;2009012914;  8902;1000
610900;2009012915;  5142;1000
610900;2009012916;  1299;1000
610900;2009012917;     0;1000
610900;2009012918;     0;1000
610900;2009012919;     0;1000
610900;2009012920;     0;1000
610900;2009012921;     0;1000
610900;2009012922;     0;1000
610900;2009012923;     0;1000
610900;2009013000;     0;1000
610900;2009013001;     0;1000
610900;2009013002;     0;1000
610900;2009013003;     0;1000
610900;2009013004;     0;1000
610900;2009013005;     0;1000
610900;2009013006;     0;1000
610900;2009013007;     0;1000
610900;2009013008;   196;1000
610900;2009013009;  1995;1000
610900;2009013010;  3755;1000
610900;2009013011;  6836;1000
610900;2009013012;  6760;1000
610900;2009013013;  5829;1000
610900;2009013014;  5686;1000
610900;2009013015;  4871;1000
610900;2009013016;  1686;1000
610900;2009013017;     0;1000
610900;2009013018;     0;1000
610900;2009013019;     0;1000
610900;2009013020;     0;1000
610900;2009013021;     0;1000
610900;2009013022;     0;1000
610900;2009013023;     0;1000
610900;2009013100;     0;1000
610900;2009013101;     0;1000
610900;2009013102;     0;1000
610900;2009013103;     0;1000
610900;2009013104;     0;1000
610900;2009013105;     0;1000
610900;2009013106;     0;1000
610900;2009013107;     0;1000
610900;2009013108;   453;1000
610900;2009013109;  6401;1000
610900;2009013110; 11644;1000
610900;2009013111; 10496;1000
610900;2009013112; 12821;1000
610900;2009013113; 11962;1000
610900;2009013114;  9320;1000
610900;2009013115;  5561;1000
610900;2009013116;  1581;1000
610900;2009013117;     0;1000
610900;2009013118;     0;1000
610900;2009013119;     0;1000
610900;2009013120;     0;1000
610900;2009013121;     0;1000
610900;2009013122;     0;1000
610900;2009013123;     0;1000
610900;2009020100;     0;1000
610900;2009020101;     0;1000
610900;2009020102;     0;1000
610900;2009020103;     0;1000
610900;2009020104;     0;1000
610900;2009020105;     0;1000
610900;2009020106;     0;1000
610900;2009020107;     0;1000
610900;2009020108;   926;1000
610900;2009020109;  4666;1000
610900;2009020110;  8598;1000
610900;2009020111; 10845;1000
610900;2009020112; 12869;1000
610900;2009020113; 11224;1000
610900;2009020114;  3941;1000
610900;2009020115;  4138;1000
610900;2009020116;   767;1000
610900;2009020117;     0;1000
610900;2009020118;     0;1000
610900;2009020119;     0;1000
610900;2009020120;     0;1000
