 statid;timeobs;Global_illuminance_mean[_lx];Quality_label
603100;2009012115;  2651;1000
603100;2009012116;   251;1000
603100;2009012117;     0;1000
603100;2009012118;     0;1000
603100;2009012119;     0;1000
603100;2009012120;     0;1000
603100;2009012121;     0;1000
603100;2009012122;     0;1000
603100;2009012123;     0;1000
603100;2009012200;     0;1000
603100;2009012201;     0;1000
603100;2009012202;     0;1000
603100;2009012203;     0;1000
603100;2009012204;     0;1000
603100;2009012205;     0;1000
603100;2009012206;     0;1000
603100;2009012207;     0;1000
603100;2009012208;     0;1000
603100;2009012209;   901;1000
603100;2009012210;  2741;1000
603100;2009012211;  4885;1000
603100;2009012212; 16803;1000
603100;2009012213; 16205;1000
603100;2009012214;  6101;1000
603100;2009012215;  1968;1000
603100;2009012216;    95;1000
603100;2009012217;     0;1000
603100;2009012218;     0;1000
603100;2009012219;     0;1000
603100;2009012220;     0;1000
603100;2009012221;     0;1000
603100;2009012222;     0;1000
603100;2009012223;     0;1000
603100;2009012300;     0;1000
603100;2009012301;     0;1000
603100;2009012302;     0;1000
603100;2009012303;     0;1000
603100;2009012304;     0;1000
603100;2009012305;     0;1000
603100;2009012306;     0;1000
603100;2009012307;     0;1000
603100;2009012308;     0;1000
603100;2009012309;   228;1000
603100;2009012310;  1505;1000
603100;2009012311;  2291;1000
603100;2009012312;  1603;1000
603100;2009012313;  1162;1000
603100;2009012314;  1316;1000
603100;2009012315;   728;1000
603100;2009012316;     0;1000
603100;2009012317;     0;1000
603100;2009012318;     0;1000
603100;2009012319;     0;1000
603100;2009012320;     0;1000
603100;2009012321;     0;1000
603100;2009012322;     0;1000
603100;2009012323;     0;1000
603100;2009012400;     0;1000
603100;2009012401;     0;1000
603100;2009012402;     0;1000
603100;2009012403;     0;1000
603100;2009012404;     0;1000
603100;2009012405;     0;1000
603100;2009012406;     0;1000
603100;2009012407;     0;1000
603100;2009012408;     0;1000
603100;2009012409;   434;1000
603100;2009012410;   906;1000
603100;2009012411;  5275;1000
603100;2009012412;  4413;1000
603100;2009012413;  5661;1000
603100;2009012414;  4430;1000
603100;2009012415;  3052;1000
603100;2009012416;   967;1000
603100;2009012417;     0;1000
603100;2009012418;     0;1000
603100;2009012419;     0;1000
603100;2009012420;     0;1000
603100;2009012421;     0;1000
603100;2009012422;     0;1000
603100;2009012423;     0;1000
603100;2009012500;     0;1000
603100;2009012501;     0;1000
603100;2009012502;     0;1000
603100;2009012503;     0;1000
603100;2009012504;     0;1000
603100;2009012505;     0;1000
603100;2009012506;     0;1000
603100;2009012507;     0;1000
603100;2009012508;   255;1000
603100;2009012509;  2807;1000
603100;2009012510; 10514;1000
603100;2009012511; 16000;1000
603100;2009012512; 17742;1000
603100;2009012513; 16435;1000
603100;2009012514; 11962;1000
603100;2009012515;  6002;1000
603100;2009012516;   509;1000
603100;2009012517;     0;1000
603100;2009012518;     0;1000
603100;2009012519;     0;1000
603100;2009012520;     0;1000
603100;2009012521;     0;1000
603100;2009012522;     0;1000
603100;2009012523;     0;1000
603100;2009012600;     0;1000
603100;2009012601;     0;1000
603100;2009012602;     0;1000
603100;2009012603;     0;1000
603100;2009012604;     0;1000
603100;2009012605;     0;1000
603100;2009012606;     0;1000
603100;2009012607;     0;1000
603100;2009012608;    96;1000
603100;2009012609;  1465;1000
603100;2009012610;  3890;1000
603100;2009012611;  6240;1000
603100;2009012612;  6714;1000
603100;2009012613;  5429;1000
603100;2009012614;  3370;1000
603100;2009012615;  1310;1000
603100;2009012616;   189;1000
603100;2009012617;     0;1000
603100;2009012618;     0;1000
603100;2009012619;     0;1000
603100;2009012620;     0;1000
603100;2009012621;     0;1000
603100;2009012622;     0;1000
603100;2009012623;     0;1000
603100;2009012700;     0;1000
603100;2009012701;     0;1000
603100;2009012702;     0;1000
603100;2009012703;     0;1000
603100;2009012704;     0;1000
603100;2009012705;     0;1000
603100;2009012706;     0;1000
603100;2009012707;     0;1000
603100;2009012708;   182;1000
