statid;timeobs;radiation_mean(W/m^2);label
618800;2009013104;0;1100
618800;2009013105;0;1100
618800;2009013106;0;1100
618800;2009013107;0;1100
618800;2009013108;10;1100
618800;2009013109;44;1100
618800;2009013110;91;1100
618800;2009013111;102;1100
618800;2009013112;110;1100
618800;2009013113;109;1100
618800;2009013114;96;1100
618800;2009013115;45;1100
618800;2009013116;8;1100
618800;2009013117;0;1100
618800;2009013118;0;1100
618800;2009013119;0;1100
618800;2009013120;0;1100
618800;2009013121;0;1100
618800;2009013122;0;1100
618800;2009013123;0;1100
618800;2009020100;0;1100
618800;2009020101;0;1100
618800;2009020102;0;1100
618800;2009020103;0;1100
618800;2009020104;0;1100
618800;2009020105;0;1100
618800;2009020106;0;1100
618800;2009020107;0;1100
618800;2009020108;4;1100
618800;2009020109;17;1100
618800;2009020110;55;1100
618800;2009020111;148;1100
618800;2009020112;218;1100
618800;2009020113;173;1100
618800;2009020114;75;1100
618800;2009020115;36;1100
618800;2009020116;7;1100
618800;2009020117;0;1100
618800;2009020118;0;1100
618800;2009020119;0;1100
618800;2009020120;0;1100
618800;2009020121;0;1100
618800;2009020122;0;1100
618800;2009020123;0;1100
618800;2009020200;0;1100
618800;2009020201;0;1100
618800;2009020202;0;1100
618800;2009020203;0;1100
618800;2009020204;0;1100
618800;2009020205;0;1100
618800;2009020206;0;1100
618800;2009020207;0;1100
618800;2009020208;5;1100
618800;2009020209;24;1100
618800;2009020210;107;1100
618800;2009020211;279;1100
618800;2009020212;209;1100
618800;2009020213;126;1100
618800;2009020214;66;1100
618800;2009020215;32;1100
618800;2009020216;5;1100
618800;2009020217;0;1100
618800;2009020218;0;1100
618800;2009020219;0;1100
618800;2009020220;0;1100
618800;2009020221;0;1100
618800;2009020222;0;1100
618800;2009020223;0;1100
618800;2009020300;0;1100
618800;2009020301;0;1100
618800;2009020302;0;1100
618800;2009020303;0;1100
618800;2009020304;0;1100
618800;2009020305;0;1100
618800;2009020306;0;1100
618800;2009020307;0;1100
