 statid;timeobs;Direct_normal_illuminance_mean_[lx];Quality_label
619700;2010111816;     0;1000
619700;2010111817;     0;1000
619700;2010111818;     0;1000
619700;2010111819;     0;1000
619700;2010111820;     0;1000
619700;2010111821;     0;1000
619700;2010111822;     0;1000
619700;2010111823;     0;1000
619700;2010111900;     0;1000
619700;2010111901;     0;1000
619700;2010111902;     0;1000
619700;2010111903;     0;1000
619700;2010111904;     0;1000
619700;2010111905;     0;1000
619700;2010111906;     0;1000
619700;2010111907;     0;1000
619700;2010111908;     0;1000
619700;2010111909;     0;1000
619700;2010111910;     0;1000
619700;2010111911;     0;1000
619700;2010111912;     0;1000
619700;2010111913;     0;1000
619700;2010111914;     0;1000
619700;2010111915;     0;1000
619700;2010111916;     0;1000
619700;2010111917;     0;1000
619700;2010111918;     0;1000
619700;2010111919;     0;1000
619700;2010111920;     0;1000
619700;2010111921;     0;1000
619700;2010111922;     0;1000
619700;2010111923;     0;1000
619700;2010112000;     0;1000
619700;2010112001;     0;1000
619700;2010112002;     0;1000
619700;2010112003;     0;1000
619700;2010112004;     0;1000
619700;2010112005;     0;1000
619700;2010112006;     0;1000
619700;2010112007;     0;1000
619700;2010112008;     0;1000
619700;2010112009;     0;1000
619700;2010112010;     0;1000
619700;2010112011;     0;1000
619700;2010112012;     0;1000
619700;2010112013;    39;1000
619700;2010112014;     0;1000
619700;2010112015;     0;1000
619700;2010112016;     0;1000
619700;2010112017;     0;1000
619700;2010112018;     0;1000
619700;2010112019;     0;1000
619700;2010112020;     0;1000
619700;2010112021;     0;1000
619700;2010112022;     0;1000
619700;2010112023;     0;1000
619700;2010112100;     0;1000
619700;2010112101;     0;1000
619700;2010112102;     0;1000
619700;2010112103;     0;1000
619700;2010112104;     0;1000
619700;2010112105;     0;1000
619700;2010112106;     0;1000
619700;2010112107;     0;1000
619700;2010112108;     0;1000
619700;2010112109;     0;1000
619700;2010112110;     0;1000
619700;2010112111;   376;1000
619700;2010112112;     0;1000
619700;2010112113;     0;1000
619700;2010112114;     0;1000
619700;2010112115;     0;1000
619700;2010112116;     0;1000
619700;2010112117;     0;1000
619700;2010112118;     0;1000
619700;2010112119;     0;1000
619700;2010112120;     0;1000
619700;2010112121;     0;1000
619700;2010112122;     0;1000
619700;2010112123;     0;1000
619700;2010112200;     0;1000
619700;2010112201;     0;1000
619700;2010112202;     0;1000
619700;2010112203;     0;1000
619700;2010112204;     0;1000
619700;2010112205;     0;1000
619700;2010112206;     0;1000
619700;2010112207;     0;1000
619700;2010112208;     0;1000
619700;2010112209;     0;1000
619700;2010112210;     0;1000
619700;2010112211;     0;1000
619700;2010112212;     0;1000
619700;2010112213;     0;1000
619700;2010112214;     0;1000
619700;2010112215;     0;1000
619700;2010112216;     0;1000
619700;2010112217;     0;1000
619700;2010112218;     0;1000
619700;2010112219;     0;1000
619700;2010112220;     0;1000
619700;2010112221;     0;1000
619700;2010112222;     0;1000
619700;2010112223;     0;1000
619700;2010112300;     0;1000
619700;2010112301;     0;1000
619700;2010112302;     0;1000
619700;2010112303;     0;1000
619700;2010112304;     0;1000
619700;2010112305;     0;1000
619700;2010112306;     0;1000
619700;2010112307;     0;1000
619700;2010112308;     0;1000
619700;2010112309;     0;1000
619700;2010112310;     0;1000
619700;2010112311;     0;1000
619700;2010112312;     0;1000
619700;2010112313;     0;1000
619700;2010112314;     0;1000
619700;2010112315;     0;1000
619700;2010112316;     0;1000
619700;2010112317;     0;1000
619700;2010112318;     0;1000
619700;2010112319;     0;1000
619700;2010112320;     0;1000
619700;2010112321;     0;1000
619700;2010112322;     0;1000
619700;2010112323;     0;1000
619700;2010112400;     0;1000
619700;2010112401;     0;1000
619700;2010112402;     0;1000
619700;2010112403;     0;1000
619700;2010112404;     0;1000
619700;2010112405;     0;1000
619700;2010112406;     0;1000
619700;2010112407;     0;1000
619700;2010112408;     0;1000
619700;2010112409;  1310;1000
619700;2010112410;   551;1000
619700;2010112411;  1505;1000
619700;2010112412;   140;1000
619700;2010112413;   168;1000
619700;2010112414;   458;1000
619700;2010112415;  3237;1000
619700;2010112416;     0;1000
619700;2010112417;     0;1000
619700;2010112418;     0;1000
619700;2010112419;     0;1000
619700;2010112420;     0;1000
619700;2010112421;     0;1000
619700;2010112422;     0;1000
619700;2010112423;     0;1000
619700;2010112500;     0;1000
619700;2010112501;     0;1000
619700;2010112502;     0;1000
619700;2010112503;     0;1000
619700;2010112504;     0;1000
619700;2010112505;     0;1000
619700;2010112506;     0;1000
619700;2010112507;   441;1000
619700;2010112508;   298;1000
619700;2010112509;  2847;1000
619700;2010112510;  9924;1000
619700;2010112511;  1990;1000
619700;2010112512;  2857;1000
619700;2010112513;  4606;1000
619700;2010112514;  3761;1000
619700;2010112515;  2538;1000
619700;2010112516;     0;1000
619700;2010112517;     0;1000
619700;2010112518;     0;1000
619700;2010112519;     0;1000
619700;2010112520;     0;1000
619700;2010112521;     0;1000
619700;2010112522;     0;1000
619700;2010112523;     0;1000
619700;2010112600;     0;1000
619700;2010112601;     0;1000
619700;2010112602;     0;1000
619700;2010112603;     0;1000
619700;2010112604;     0;1000
619700;2010112605;     0;1000
619700;2010112606;     0;1000
619700;2010112607;     0;1000
619700;2010112608; 15532;1000
619700;2010112609; 19917;1000
619700;2010112610; 17857;1000
619700;2010112611; 13858;1000
619700;2010112612;  4914;1000
619700;2010112613;   207;1000
619700;2010112614;     0;1000
619700;2010112615;     0;1000
619700;2010112616;     0;1000
619700;2010112617;     0;1000
619700;2010112618;     0;1000
619700;2010112619;     0;1000
619700;2010112620;     0;1000
619700;2010112621;     0;1000
619700;2010112622;     0;1000
619700;2010112623;     0;1000
619700;2010112700;     0;1000
619700;2010112701;     0;1000
619700;2010112702;     0;1000
619700;2010112703;     0;1000
619700;2010112704;     0;1000
619700;2010112705;     0;1000
619700;2010112706;     0;1000
619700;2010112707;     0;1000
619700;2010112708;     0;1000
619700;2010112709;   591;1000
619700;2010112710; 25878;1000
619700;2010112711; 32155;1000
619700;2010112712; 20021;1000
619700;2010112713;  8105;1000
619700;2010112714;  9544;1000
619700;2010112715;     0;1000
619700;2010112716;     0;1000
619700;2010112717;     0;1000
619700;2010112718;     0;1000
619700;2010112719;     0;1000
619700;2010112720;     0;1000
619700;2010112721;     0;1000
619700;2010112722;     0;1000
619700;2010112723;     0;1000
619700;2010112800;     0;1000
619700;2010112801;     0;1000
619700;2010112802;     0;1000
619700;2010112803;     0;1000
619700;2010112804;     0;1000
619700;2010112805;     0;1000
619700;2010112806;     0;1000
619700;2010112807;     0;1000
619700;2010112808;     0;1000
619700;2010112809;   275;1000
619700;2010112810;  1705;1000
619700;2010112811; 20806;1000
619700;2010112812;  7798;1000
619700;2010112813; 30327;1000
619700;2010112814; 14476;1000
619700;2010112815;  3866;1000
619700;2010112816;     0;1000
619700;2010112817;     0;1000
619700;2010112818;     0;1000
619700;2010112819;     0;1000
619700;2010112820;     0;1000
619700;2010112821;     0;1000
619700;2010112822;     0;1000
619700;2010112823;     0;1000
619700;2010112900;     0;1000
619700;2010112901;     0;1000
619700;2010112902;     0;1000
619700;2010112903;     0;1000
619700;2010112904;     0;1000
619700;2010112905;     0;1000
619700;2010112906;     0;1000
619700;2010112907;     0;1000
619700;2010112908;     0;1000
619700;2010112909;     0;1000
619700;2010112910;     0;1000
619700;2010112911;     0;1000
619700;2010112912;   349;1000
619700;2010112913;   805;1000
619700;2010112914;     0;1000
619700;2010112915;     0;1000
619700;2010112916;     0;1000
619700;2010112917;     0;1000
619700;2010112918;     0;1000
619700;2010112919;     0;1000
619700;2010112920;     0;1000
