month;day;radiation_mean(MJ/m^2)
7;21;17
7;22;14.2
7;23;16.6
7;24;16.6
7;25;19.2
7;26;17.8
7;27;19.9
7;28;15.8
7;29;17.2
7;30;15.5
7;31;17.3
8;1;16.8
8;2;13.5
8;3;17.7
8;4;16.9
8;5;17.1
8;6;19.4
8;7;19.1
8;8;16.4
8;9;16.8
8;10;16
8;11;14.4
8;12;11.3
8;13;14.1
8;14;15.1
8;15;15.2
8;16;13.9
8;17;14.3
8;18;14.5
8;19;15.6
8;20;14.6
8;21;12.9
8;22;15.7
8;23;12.3
8;24;15.3
8;25;11.3
8;26;14
8;27;10.6
8;28;13.8
8;29;13.5
8;30;13.9
8;31;12
9;1;12.8
9;2;12.2
9;3;12.8
9;4;12.8
9;5;14.6
9;6;12.5
9;7;11.6
9;8;12.2
9;9;11.9
9;10;12.9
9;11;11.5
9;12;10.9
9;13;13.4
9;14;11.7
9;15;12
9;16;11.6
9;17;11.3
9;18;9.9
9;19;9.2
9;20;7.7
9;21;9.5
9;22;10.1
9;23;10.2
9;24;8.4
9;25;8.5
9;26;6.7
9;27;7.5
9;28;7.2
9;29;6.9
9;30;7.8
10;1;7.8
10;2;7.2
10;3;6.8
10;4;7.5
10;5;6.8
10;6;7
10;7;7.2
10;8;5.1
10;9;7.3
10;10;7
10;11;6.8
10;12;7.2
10;13;7.2
10;14;6.7
10;15;6.2
10;16;4.9
10;17;6.7
10;18;4.5
10;19;6.1
10;20;5
10;21;4
10;22;3.7
10;23;4.7
10;24;2.7
10;25;3.9
10;26;4
10;27;3.6
10;28;3.1
10;29;3
10;30;3.4
10;31;3.4
11;1;2.9
11;2;3.1
11;3;2.2
11;4;2.9
11;5;2.5
11;6;3
11;7;3.1
11;8;2.2
11;9;2.9
11;10;2.4
11;11;2.6
11;12;2.1
11;13;3
11;14;2.4
11;15;2
11;16;2.3
11;17;2.2
11;18;1.7
11;19;2.1
11;20;1.9
11;21;2
11;22;1.5
11;23;1.9
11;24;1.9
11;25;1.4
11;26;1.8
11;27;1.8
11;28;1.7
11;29;1.2
11;30;1.1
12;1;1.4
12;2;1.6
12;3;1.2
12;4;1
12;5;0.9
12;6;1.5
12;7;1.1
12;8;1.1
12;9;1.6
12;10;1.5
12;11;1
12;12;1.7
12;13;1.1
12;14;1.4
12;15;1.2
12;16;1.2
12;17;1.4
12;18;1.5
12;19;1.5
12;20;1.1
12;21;1.2
12;22;1.3
12;23;1.1
12;24;1.2
12;25;1.1
12;26;1.2
12;27;1
12;28;0.9
12;29;1.4
12;30;1.2
12;31;1.8
